順,順,大学名,タイム,結果
1,1,青山学院大学,28:35:61,1位
2,2,駒澤大学,28:53:82,3位
3,3,山梨学院大学,28:56:64,8位
4,4,東海大学,28:58:07,5位
5,5,東洋大学,29:02:07,2位
6,6,明治大学,29:02:49,14位
7,7,早稲田大学,29:02:73,4位
8,8,日本大学,29:08:50,11位
9,9,日本体育大学,29:12:14,7位
10,10,順天堂大学,29:12:28,6位
11,11,中央学院大学,29:14:44,9位
12,12,帝京大学,29:22:57,10位
13,13,神奈川大学,29:28:92,13位
14,14,大東文化大学,29:30:02,18位
15,15,城西大学,29:30:27,12位
16,16,中央大学,29:32:43,15位
17,17,東京国際大学,29:36:86,17位
18,18,拓殖大学,29:38:70,16位
19,19,法政大学,29:39:54,19位
20,20,上武大学,29:45:58,20位
21,21,関東学生連合,29:09:25,参考
