"総合
							順位",大学,総合記録,"往路
							順位",往路記録,"復路
							順位",復路記録
1,東洋大学,10時間52分51秒,1,5時間27分13秒,1,5時間25分38秒
2,駒澤大学,10時間57分25秒,2,5時間28分12秒,2,5時間29分13秒
3,日本体育大学,11時間03分51秒,4,5時間33分45秒,3,5時間30分06秒
4,早稲田大学,11時間04分17秒,3,5時間32分22秒,4,5時間31分55秒
5,青山学院大学,11時間08分53秒,5,5時間35分04秒,6,5時間33分49秒
6,明治大学,11時間10分09秒,7,5時間36分01秒,7,5時間34分08秒
7,日本大学,11時間12分52秒,10,5時間37分12秒,10,5時間35分40秒
8,帝京大学,11時間13分03秒,12,5時間39分23秒,5,5時間33分40秒
9,拓殖大学,11時間13分06秒,6,5時間35分52秒,13,5時間37分14秒
10,大東文化大学,11時間14分43秒,8,5時間36分31秒,16,5時間38分12秒
11,法政大学,11時間15分33秒,11,5時間37分46秒,14,5時間37分47秒
12,中央学院大学,11時間15分40秒,13,5時間40分18秒,8,5時間35分22秒
13,東海大学,11時間17分52秒,9,5時間37分00秒,18,5時間40分52秒
14,東京農業大学,11時間18分02秒,14,5時間41分39秒,12,5時間36分23秒
15,中央大学,11時間18分43秒,17,5時間42分27秒,11,5時間36分16秒
16,順天堂大学,11時間19分03秒,19,5時間43分30秒,9,5時間35分33秒
17,國學院大学,11時間20分44秒,18,5時間42分36秒,15,5時間38分08秒
18,神奈川大学,11時間23分47秒,15,5時間41分56秒,20,5時間41分51秒
19,城西大学,11時間25分42秒,20,5時間44分27秒,19,5時間41分15秒
20,上武大学,11時間25分56秒,16,5時間41分59秒,22,5時間43分57秒
21,専修大学,11時間28分39秒,21,5時間47分57秒,17,5時間40分42秒
22,国士舘大学,11時間38分35秒,22,5時間55分47秒,21,5時間42分48秒
棄権,山梨学院大学,0時間0分0秒,棄権,0時間0分0秒,参考,5時間35分23秒
