順,順,大学名,タイム,結果
1,1,東洋大学,28:35:51,1位
2,2,駒澤大学,28:43:82,2位
3,3,早稲田大学,28:54:22,4位
4,4,明治大学,28:59:27,6位
5,5,日本体育大学,28:59:77,3位
6,6,帝京大学,29:00:31,8位
7,7,山梨学院大学,29:02:02,棄権
8,8,青山学院大学,29:03:94,5位
9,9,日本大学,29:04:96,7位
10,10,東京農業大学,29:10:10,14位
11,11,東海大学,29:12:00,13位
12,12,城西大学,29:13:01,19位
13,13,中央学院大学,29:13:09,12位
14,14,専修大学,29:15:09,21位
15,15,法政大学,29:16:80,11位
16,16,大東文化大学,29:21:30,10位
17,17,国士舘大学,29:24:13,22位
18,18,順天堂大学,29:24:27,16位
19,19,中央大学,29:27:02,15位
20,20,拓殖大学,29:27:11,9位
21,21,國學院大學,29:27:49,17位
,22,上武大学,29:41:48,20位
,23,神奈川大学,29:41:66,18位
