"総合
							順位",大学,総合記録,"往路
							順位",往路記録,"復路
							順位",復路記録
1,青山学院大学,10時間53分25秒,1,5時間25分55秒,1,5時間27分30秒
2,東洋大学,11時間00分36秒,2,5時間28分59秒,2,5時間31分37秒
3,駒澤大学,11時間04分00秒,3,5時間31分15秒,3,5時間32分45秒
4,早稲田大学,11時間07分54秒,5,5時間34分17秒,5,5時間33分37秒
5,東海大学,11時間09分44秒,8,5時間35分45秒,6,5時間33分59秒
6,順天堂大学,11時間11分24秒,7,5時間35分39秒,8,5時間35分45秒
7,日本体育大学,11時間11分32秒,13,5時間38分12秒,4,5時間33分20秒
8,山梨学院大学,11時間11分51秒,4,5時間33分24秒,10,5時間38分27秒
9,中央学院大学,11時間13分31秒,14,5時間38分19秒,7,5時間35分12秒
10,帝京大学,11時間15分21秒,9,5時間36分36秒,11,5時間38分45秒
11,日本大学,11時間16分50秒,6,5時間34分28秒,15,5時間42分22秒
12,城西大学,11時間20分06秒,11,5時間37分42秒,16,5時間42分24秒
13,神奈川大学,11時間20分07秒,15,5時間40分36秒,12,5時間39分31秒
14,明治大学,11時間20分39秒,17,5時間43分22秒,9,5時間37分17秒
15,中央大学,11時間21分48秒,16,5時間41分08秒,14,5時間40分40秒
16,拓殖大学,11時間23分54秒,10,5時間37分42秒,19,5時間46分12秒
17,東京国際大学,11時間24分00秒,12,5時間38分06秒,18,5時間45分54秒
18,大東文化大学,11時間28分45秒,20,5時間48分48秒,13,5時間39分57秒
19,法政大学,11時間31分12秒,19,5時間45分54秒,17,5時間45分18秒
20,上武大学,11時間36分46秒,18,5時間44分37秒,20,5時間52分09秒
参考,関東学生連合,11時間15分30秒,参考,5時間39分01秒,参考,5時間36分29秒
