"総合
							順位",大学,総合記録,"往路
							順位",往路記録,"復路
							順位",復路記録
1,日本体育大学,11時間13分26秒,1,5時間40分15秒,2,5時間33分11秒
2,東洋大学,11時間18分20秒,3,5時間42分54秒,4,5時間35分26秒
3,駒澤大学,11時間19分23秒,9,5時間47分12秒,1,5時間32分11秒
4,帝京大学,11時間21分39秒,7,5時間46分27秒,3,5時間35分12秒
5,早稲田大学,11時間21分39秒,2,5時間42分50秒,8,5時間38分49秒
6,順天堂大学,11時間24分43秒,8,5時間46分29秒,7,5時間38分14秒
7,明治大学,11時間25分14秒,4,5時間44分37秒,13,5時間40分37秒
8,青山学院大学,11時間25分59秒,6,5時間46分27秒,9,5時間39分32秒
9,法政大学,11時間26分40秒,5,5時間45分39秒,15,5時間41分01秒
10,中央学院大学,11時間27分34秒,13,5時間50分05秒,5,5時間37分29秒
11,山梨学院大学,11時間28分24秒,11,5時間48分09秒,11,5時間40分15秒
12,大東文化大学,11時間30分46秒,12,5時間48分46秒,16,5時間42分00秒
13,関東学連選抜,11時間31分50秒,10,5時間47分52秒,17,5時間43分58秒
14,國學院大学,11時間33分28秒,14,5時間53分03秒,12,5時間40分25秒
15,日本大学,11時間35分23秒,15,5時間54分31秒,14,5時間40分52秒
16,神奈川大学,11時間37分36秒,18,6時間00分03秒,6,5時間37分33秒
17,東京農業大学,11時間39分13秒,17,5時間59分24秒,10,5時間39分49秒
18,上武大学,11時間42分44秒,16,5時間58分02秒,18,5時間44分42秒
棄権,城西大学,　時間　分　秒,棄権,　時間　分　秒,棄権,　時間　分　秒
棄権,中央大学,　時間　分　秒,棄権,　時間　分　秒,棄権,　時間　分　秒
