"総合
							順位",大学,総合記録,"往路
							順位",往路記録,"復路
							順位",復路記録
1,青山学院大学,10時間57分39秒,2,5時間29分05秒,1,5時間28分34秒
2,東洋大学,11時間02分32秒,1,5時間28分29秒,2,5時間34分03秒
3,早稲田大学,11時間09分09秒,3,5時間30分25秒,7,5時間38分44秒
4,日本体育大学,11時間09分28秒,7,5時間33分47秒,3,5時間35分41秒
5,東海大学,11時間10分09秒,9,5時間34分09秒,4,5時間36分00秒
6,法政大学,11時間10分20秒,5,5時間33分06秒,5,5時間37分14秒
7,城西大学,11時間12分12秒,6,5時間33分19秒,8,5時間38分53秒
8,拓殖大学,11時間12分32秒,4,5時間33分05秒,11,5時間39分27秒
9,帝京大学,11時間13分26秒,12,5時間34分47秒,6,5時間38分39秒
10,中央学院大学,11時間14分25秒,11,5時間34分43秒,12,5時間39分42秒
11,順天堂大学,11時間14分39秒,8,5時間33分54秒,13,5時間40分45秒
12,駒澤大学,11時間15分13秒,13,5時間36分01秒,10,5時間39分12秒
13,神奈川大学,11時間17分08秒,15,5時間38分04秒,9,5時間39分04秒
14,國學院大学,11時間18分06秒,14,5時間36分58秒,14,5時間41分08秒
15,中央大学,11時間19分26秒,10,5時間34分18秒,18,5時間45分08秒
16,大東文化大学,11時間22分58秒,17,5時間39分38秒,16,5時間43分20秒
17,東京国際大学,11時間22分59秒,19,5時間41分45秒,15,5時間41分14秒
18,山梨学院大学,11時間23分24秒,16,5時間38分07秒,19,5時間45分17秒
19,国士舘大学,11時間26分42秒,18,5時間41分38秒,17,5時間45分04秒
20,上武大学,11時間32分42秒,20,5時間42分22秒,20,5時間50分20秒
参考,関東学生連合,11時間40分02秒,参考,5時間49分20秒,参考,5時間50分42秒
