"総合
							順位",大学,総合記録,"往路
							順位",往路記録,"復路
							順位",復路記録
1,青山学院大学,10時間49分27秒,1,5時間23分58秒,1,5時間25分29秒
2,駒澤大学,11時間00分17秒,4,5時間31分23秒,2,5時間28分54秒
3,東洋大学,11時間01分22秒,3,5時間30分47秒,4,5時間30分35秒
4,明治大学,11時間01分57秒,2,5時間28分57秒,6,5時間33分00秒
5,早稲田大学,11時間02分15秒,6,5時間33分02秒,3,5時間29分13秒
6,東海大学,11時間07分08秒,7,5時間33分55秒,8,5時間33分13秒
7,城西大学,11時間08分15秒,8,5時間35分09秒,7,5時間33分06秒
8,中央学院大学,11時間09分18秒,5,5時間32分26秒,14,5時間36分52秒
9,山梨学院大学,11時間10分43秒,13,5時間38分53秒,5,5時間31分50秒
10,大東文化大学,11時間11分15秒,9,5時間35分21秒,12,5時間35分54秒
11,帝京大学,11時間13分30秒,16,5時間39分18秒,9,5時間34分12秒
12,順天堂大学,11時間13分32秒,15,5時間39分18秒,10,5時間34分14秒
13,日本大学,11時間17分59秒,12,5時間37分29秒,17,5時間40分30秒
14,國學院大学,11時間18分12秒,19,5時間42分48秒,11,5時間35分24秒
15,日本体育大学,11時間18分24秒,17,5時間41分48秒,13,5時間36分36秒
16,拓殖大学,11時間18分24秒,11,5時間35分36秒,18,5時間42分48秒
17,神奈川大学,11時間18分47秒,14,5時間39分09秒,16,5時間39分38秒
18,上武大学,11時間18分53秒,18,5時間41分55秒,15,5時間36分58秒
19,中央大学,11時間20分51秒,10,5時間35分25秒,19,5時間45分26秒
20,創価大学,11時間31分40秒,20,5時間44分45秒,20,5時間46分55秒
参考,関東学生連合,11時間19分12秒,参考,5時間38分27秒,参考,5時間40分45秒
